xc,yb,surf,section,cp,std
0.95,0,U,1,-0.07,
0.85,0,U,1,-0.175,
0.75,0,U,1,-0.24,
0.65,0,U,1,-0.325,
0.5,0,U,1,-0.435,
0.35,0,U,1,-0.52,
0.225,0,U,1,-0.475,
0.08,0,U,1,-0.4,
0.03,0,U,1,-0.315,
0.01,0,U,1,-0.165,
0,0,U,1,0.865,
0.01,0,L,1,0.885,
0.03,0,L,1,0.65,
0.08,0,L,1,0.38,
0.15,0,L,1,0.26,
0.225,0,L,1,0.17,
0.35,0,L,1,0.055,
0.5,0,L,1,0.025,
0.65,0,L,1,0.025,
0.75,0,L,1,0.045,
0.85,0,L,1,0.06,
0.95,0,L,1,0.065,
0.95,0.041,U,2,0.04,
0.85,0.041,U,2,-0.075,
0.75,0.041,U,2,-0.17,
0.65,0.041,U,2,-0.25,
0.5,0.041,U,2,-0.375,
0.35,0.041,U,2,-0.515,
0.225,0.041,U,2,-0.58,
0.15,0.041,U,2,-0.6,
0.08,0.041,U,2,-0.66,
0.03,0.041,U,2,-0.805,
0.01,0.041,U,2,-0.8,
0,0.041,U,2,0.025,
0.01,0.041,L,2,0.565,
0.03,0.041,L,2,0.49,
0.08,0.041,L,2,0.325,
0.15,0.041,L,2,0.18,
0.225,0.041,L,2,0.115,
0.35,0.041,L,2,0.03,
0.5,0.041,L,2,0.02,
0.65,0.041,L,2,0.04,
0.75,0.041,L,2,0.065,
0.85,0.041,L,2,0.075,
0.95,0.041,L,2,0.09,
0.95,0.082,U,3,0.05,
0.85,0.082,U,3,-0.035,
0.75,0.082,U,3,-0.115,
0.65,0.082,U,3,-0.215,
0.5,0.082,U,3,-0.37,
0.35,0.082,U,3,-0.52,
0.225,0.082,U,3,-0.615,
0.08,0.082,U,3,-0.795,
0.03,0.082,U,3,-1.015,
0.01,0.082,U,3,-1.085,
0,0.082,U,3,-0.375,
0.01,0.082,L,3,0.53,
0.03,0.082,L,3,0.5,
0.08,0.082,L,3,0.31,
0.15,0.082,L,3,0.17,
0.225,0.082,L,3,0.09,
0.35,0.082,L,3,0.015,
0.5,0.082,L,3,0.015,
0.65,0.082,L,3,0.035,
0.75,0.082,L,3,0.055,
