,0.32,0.42,0.52,0.54,0.57,0.59,0.62,0.64,0.67,0.7,0.73,0.75,0.78,0.81,0.84
0.95,0.03,0.03,0.01,0.01,0.01,0.02,0.03,0.04,0.02,-0.07,-0.2,-0.29,-0.38,-0.47,-0.55
0.9,-0.05,-0.03,-0.05,-0.04,-0.04,-0.03,-0.02,-0.03,-0.05,-0.12,-0.25,-0.34,-0.43,-0.5,-0.57
0.85,-0.11,-0.12,-0.11,-0.09,-0.11,-0.09,-0.1,-0.11,-0.11,-0.17,-0.3,-0.39,-0.47,-0.53,-0.59
0.8,-0.21,-0.22,-0.21,-0.19,-0.2,-0.19,-0.2,-0.21,-0.19,-0.24,-0.36,-0.44,-0.51,-0.56,-0.61
0.75,-0.3,-0.3,-0.3,-0.28,-0.29,-0.28,-0.29,-0.31,-0.27,-0.31,-0.43,-0.5,-0.55,-0.59,-0.64
0.7,-0.37,-0.38,-0.4,-0.38,-0.39,-0.38,-0.39,-0.4,-0.35,-0.39,-0.51,-0.55,-0.59,-0.62,-0.66
0.65,-0.45,-0.46,-0.48,-0.46,-0.47,-0.46,-0.49,-0.48,-0.42,-0.49,-0.57,-0.61,-0.63,-0.64,-0.69
0.6,-0.53,-0.55,-0.58,-0.57,-0.58,-0.58,-0.6,-0.59,-0.52,-0.6,-0.65,-0.67,-0.66,-0.68,-0.74
0.55,-0.61,-0.62,-0.66,-0.65,-0.66,-0.66,-0.69,-0.67,-0.62,-0.74,-0.75,-0.74,-0.72,-0.74,-0.83
0.5,-0.66,-0.69,-0.74,-0.73,-0.75,-0.75,-0.78,-0.74,-0.77,-0.89,-0.84,-0.82,-0.78,-0.82,-0.92
0.45,-0.74,-0.77,-0.83,-0.82,-0.85,-0.86,-0.89,-0.81,-1.15,-1.08,-0.96,-0.96,-0.91,-0.95,-0.99
0.4,-0.77,-0.81,-0.87,-0.87,-0.9,-0.91,-0.95,-0.81,-1.49,-1.37,-1.17,-1.13,-1.06,-1.04,-1
0.35,-0.83,-0.86,-0.96,-0.93,-0.97,-0.98,-1.01,-0.99,-1.69,-1.53,-1.33,-1.24,-1.15,-1.07,-1.01
0.3,-0.86,-0.9,-0.99,-0.98,-1.02,-1.03,-1.04,-1.6,-1.7,-1.54,-1.37,-1.27,-1.16,-1.08,-0.98
0.25,-0.9,-0.95,-1.04,-1.04,-1.08,-1.08,-1.02,-1.76,-1.76,-1.59,-1.4,-1.29,-1.17,-1.07,-0.94
0.2,-0.95,-1,-1.08,-1.09,-1.13,-1.11,-1.14,-1.84,-1.76,-1.6,-1.41,-1.26,-1.12,-0.99,-0.85
0.15,-1.06,-1.11,-1.2,-1.19,-1.22,-1.13,-1.87,-1.91,-1.78,-1.6,-1.39,-1.23,-1.09,-0.95,-0.8
0.1,-1.17,-1.22,-1.3,-1.27,-1.29,-1.89,-1.98,-1.97,-1.8,-1.61,-1.37,-1.19,-1.03,-0.88,-0.72
0.075,-1.34,-1.4,-1.6,-1.7,-1.97,-2.02,-2.11,-2.02,-1.83,-1.62,-1.39,-1.19,-1.02,-0.85,-0.68
0.025,-1.86,-1.96,-2.16,-2.18,-2.19,-2,-1.88,-1.71,-1.51,-1.31,-1.07,-0.87,-0.7,-0.54,-0.36
0.013,-2.11,-2.19,-2.25,-2.17,-2.07,-1.87,-1.75,-1.56,-1.3,-1.04,-0.76,-0.55,-0.37,-0.19,-0.01
0.005,-2.5,-2.54,-2.37,-2.17,-1.99,-1.74,-1.58,-1.39,-1.14,-0.9,-0.58,-0.31,-0.09,0.11,0.31
0,-0.93,-0.81,-0.46,-0.33,-0.23,-0.07,0.03,0.15,0.3,0.46,0.65,0.82,0.93,1.03,1.11
0.005,1,1.03,1.06,1.07,1.08,1.09,1.1,1.1,1.11,1.11,1.1,1.06,1.02,0.95,0.9
0.013,1,1.01,1.02,1.02,1.02,1.02,1.02,1.02,1,0.97,0.92,0.87,0.81,0.74,0.68
0.025,0.86,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.85,0.81,0.76,0.7,0.65,0.58,0.53
0.05,0.62,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.62,0.59,0.54,0.5,0.44,0.4,0.36
0.075,0.49,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.51,0.48,0.44,0.4,0.37,0.31,0.29
0.1,0.44,0.45,0.45,0.45,0.46,0.46,0.46,0.46,0.45,0.43,0.39,0.36,0.33,0.28,0.26
0.15,0.35,0.37,0.36,0.36,0.37,0.37,0.37,0.38,0.38,0.36,0.32,0.29,0.26,0.22,0.2
