,0.32,0.42,0.53,0.55
0.95,-0.74,-0.75,-0.81,-0.84
0.9,-0.75,-0.76,-0.83,-0.85
0.85,-0.77,-0.77,-0.84,-0.87
0.8,-0.77,-0.78,-0.84,-0.87
0.75,-0.77,-0.78,-0.85,-0.88
0.7,-0.78,-0.78,-0.85,-0.88
0.65,-0.77,-0.78,-0.84,-0.87
0.6,-0.77,-0.77,-0.84,-0.86
0.55,-0.76,-0.78,-0.84,-0.87
0.5,-0.76,-0.77,-0.83,-0.86
0.45,-0.75,-0.77,-0.83,-0.85
0.4,-0.75,-0.76,-0.83,-0.85
0.35,-0.74,-0.75,-0.81,-0.84
0.3,-0.74,-0.75,-0.81,-0.84
0.25,-0.73,-0.74,-0.8,-0.83
0.2,-0.73,-0.74,-0.8,-0.83
0.15,-0.72,-0.74,-0.8,-0.83
0.1,-0.72,-0.73,-0.79,-0.82
0.075,-0.72,-0.73,-0.79,-0.82
0.025,-0.73,-0.73,-0.79,-0.82
0.013,-0.72,-0.74,-0.8,-0.83
0.005,-0.73,-0.74,-0.8,-0.82
0,-0.77,-0.79,-0.85,-0.86
0.005,0.55,0.58,0.59,0.61
0.013,0.91,0.93,0.96,0.97
0.025,1.01,1.03,1.06,1.07
0.05,0.97,0.98,1.02,1.03
0.075,0.87,0.88,0.93,0.94
0.1,0.81,0.82,0.87,0.88
0.15,0.71,0.72,0.77,0.78
0.2,0.62,0.63,0.68,0.69
0.25,0.56,0.57,0.62,0.63
0.3,0.48,0.49,0.54,0.55
0.35,0.41,0.41,0.47,0.48
0.4,0.35,0.36,0.41,0.42
0.45,0.3,0.3,0.36,0.37
0.5,0.26,0.26,0.32,0.33
0.55,0.23,0.23,0.28,0.29
0.6,0.19,0.19,0.25,0.26
0.7,0.12,0.13,0.18,0.18
0.75,0.09,0.09,0.14,0.15
0.8,0.05,0.05,0.1,0.11
0.85,-0.02,-0.02,0.02,0.03
0.95,-0.28,-0.3,-0.27,-0.26
