,0.31,0.42,0.52,0.54,0.56,0.59,0.62,0.64,0.67,0.7,0.73,0.76,0.79,0.81
1,-0.3,-0.35,-0.41,-0.44,-0.45,-0.48,-0.46,-0.49,-0.5,-0.5,-0.57,-0.56,-0.57,-0.65
0.951,-0.34,-0.4,-0.47,-0.51,-0.51,-0.53,-0.5,-0.53,-0.54,-0.54,-0.59,-0.58,-0.59,-0.67
0.849,-0.43,-0.49,-0.56,-0.6,-0.6,-0.62,-0.6,-0.63,-0.63,-0.63,-0.66,-0.65,-0.64,-0.71
0.802,-0.46,-0.52,-0.59,-0.63,-0.63,-0.64,-0.62,-0.64,-0.64,-0.64,-0.66,-0.64,-0.63,-0.71
0.751,-0.5,-0.56,-0.63,-0.66,-0.65,-0.66,-0.64,-0.66,-0.65,-0.66,-0.66,-0.64,-0.64,-0.7
0.701,-0.54,-0.59,-0.65,-0.68,-0.67,-0.68,-0.66,-0.67,-0.66,-0.67,-0.66,-0.64,-0.63,-0.7
0.649,-0.57,-0.62,-0.67,-0.7,-0.68,-0.69,-0.67,-0.68,-0.67,-0.67,-0.66,-0.63,-0.62,-0.69
0.598,-0.61,-0.65,-0.69,-0.71,-0.69,-0.69,-0.67,-0.68,-0.66,-0.68,-0.66,-0.62,-0.61,-0.68
0.549,-0.65,-0.68,-0.7,-0.71,-0.7,-0.69,-0.67,-0.68,-0.66,-0.67,-0.65,-0.61,-0.6,-0.67
0.499,-0.7,-0.71,-0.71,-0.72,-0.7,-0.69,-0.67,-0.67,-0.65,-0.67,-0.65,-0.6,-0.59,-0.67
0.4,-0.79,-0.76,-0.71,-0.7,-0.69,-0.68,-0.67,-0.66,-0.64,-0.66,-0.65,-0.58,-0.58,-0.65
0.349,-0.84,-0.78,-0.72,-0.7,-0.69,-0.68,-0.67,-0.66,-0.64,-0.67,-0.64,-0.58,-0.57,-0.64
0.301,-0.87,-0.8,-0.72,-0.7,-0.7,-0.68,-0.67,-0.65,-0.64,-0.67,-0.64,-0.57,-0.56,-0.65
0.249,-0.9,-0.81,-0.72,-0.7,-0.7,-0.69,-0.66,-0.65,-0.63,-0.67,-0.64,-0.57,-0.56,-0.65
0.199,-0.93,-0.82,-0.72,-0.69,-0.69,-0.69,-0.65,-0.64,-0.63,-0.69,-0.65,-0.56,-0.56,-0.65
0.151,-0.93,-0.82,-0.71,-0.68,-0.69,-0.69,-0.65,-0.64,-0.62,-0.69,-0.63,-0.55,-0.55,-0.66
0.101,-0.92,-0.8,-0.71,-0.67,-0.68,-0.68,-0.64,-0.63,-0.62,-0.71,-1.08,-0.55,-0.55,-0.67
0.076,-0.91,-0.79,-0.7,-0.66,-0.67,-0.68,-0.64,-0.63,-0.62,-0.73,-1.27,-0.55,-0.55,-0.68
