,0.32,0.42,0.52,0.54,0.58,0.61
1,-0.63,-0.72,-0.67,-0.63,-0.71,-0.81
0.951,-0.64,-0.74,-0.68,-0.7,-0.72,-0.81
0.849,-0.66,-0.77,-0.71,-0.72,-0.75,-0.85
0.802,-0.66,-0.76,-0.7,-0.71,-0.74,-0.84
0.751,-0.67,-0.77,-0.71,-0.72,-0.75,-0.85
0.701,-0.66,-0.77,-0.71,-0.72,-0.75,-0.85
0.649,-0.67,-0.76,-0.71,-0.72,-0.75,-0.85
0.598,-0.66,-0.76,-0.7,-0.71,-0.74,-0.84
0.549,-0.66,-0.76,-0.7,-0.71,-0.74,-0.84
0.499,-0.65,-0.75,-0.69,-0.71,-0.73,-0.83
0.4,-0.64,-0.74,-0.68,-0.69,-0.72,-0.82
0.349,-0.63,-0.74,-0.68,-0.69,-0.72,-0.82
0.301,-0.62,-0.73,-0.67,-0.69,-0.71,-0.81
0.249,-0.62,-0.72,-0.67,-0.68,-0.71,-0.81
0.199,-0.62,-0.72,-0.66,-0.68,-0.7,-0.8
0.151,-0.62,-0.71,-0.66,-0.68,-0.7,-0.8
0.101,-0.61,-0.71,-0.66,-0.67,-0.7,-0.8
0.076,-0.6,-0.71,-0.65,-0.67,-0.7,-0.79
0.051,-0.61,-0.71,-0.65,-0.67,-0.69,-0.79
0.029,-0.62,-0.71,-0.66,-0.67,-0.7,-0.8
0.005,-0.61,-0.71,-0.66,-0.67,-0.7,-0.8
0,-0.65,-0.74,-0.69,-0.7,-0.73,-0.83
0.005,0.83,0.83,0.89,0.89,0.9,0.88
0.014,1.02,1.04,1.07,1.07,1.08,1.08
0.049,0.9,0.93,0.95,0.95,0.96,0.98
0.073,0.8,0.83,0.85,0.85,0.86,0.89
0.098,0.71,0.74,0.76,0.76,0.78,0.81
0.152,0.56,0.6,0.62,0.62,0.63,0.66
0.251,0.36,0.39,0.4,0.41,0.42,0.45
0.3,0.27,0.3,0.31,0.32,0.33,0.36
0.351,0.19,0.22,0.23,0.23,0.25,0.28
0.403,0.13,0.15,0.17,0.17,0.18,0.21
0.449,0.07,0.09,0.1,0.1,0.11,0.15
0.5,0.01,0.03,0.05,0.05,0.06,0.09
0.549,-0.02,-0.01,0.01,0.01,0.02,0.05
0.602,-0.05,-0.04,-0.02,-0.02,-0.01,0.01
0.649,-0.08,-0.07,-0.06,-0.06,-0.05,-0.02
0.701,-0.11,-0.1,-0.09,-0.09,-0.08,-0.06
0.751,-0.15,-0.14,-0.13,-0.13,-0.12,-0.1
0.801,-0.19,-0.2,-0.18,-0.18,-0.18,-0.16
0.851,-0.25,-0.27,-0.25,-0.25,-0.25,-0.24
0.951,-0.41,-0.45,-0.43,-0.43,-0.43,-0.45
