,0.31,0.42,0.52,0.55,0.58,0.6
1,-0.7,-0.73,-0.78,-0.77,-0.78,-0.77
0.955,-0.71,-0.74,-0.8,-0.78,-0.79,-0.78
0.904,-0.72,-0.75,-0.8,-0.79,-0.8,-0.79
0.804,-0.73,-0.76,-0.82,-0.8,-0.82,-0.8
0.758,-0.74,-0.76,-0.83,-0.81,-0.82,-0.8
0.655,-0.73,-0.75,-0.82,-0.8,-0.81,-0.79
0.6,-0.73,-0.74,-0.82,-0.8,-0.81,-0.79
0.551,-0.73,-0.74,-0.81,-0.8,-0.8,-0.79
0.502,-0.73,-0.73,-0.8,-0.79,-0.8,-0.78
0.448,-0.72,-0.72,-0.8,-0.78,-0.8,-0.78
0.399,-0.72,-0.72,-0.8,-0.78,-0.8,-0.78
0.351,-0.71,-0.71,-0.79,-0.78,-0.79,-0.76
0.304,-0.7,-0.71,-0.78,-0.77,-0.78,-0.77
0.255,-0.7,-0.69,-0.78,-0.77,-0.78,-0.76
0.199,-0.69,-0.69,-0.78,-0.76,-0.78,-0.76
0.154,-0.69,-0.68,-0.78,-0.76,-0.78,-0.76
0.106,-0.68,-0.68,-0.77,-0.76,-0.78,-0.76
0.08,-0.68,-0.68,-0.77,-0.76,-0.77,-0.76
0.051,-0.69,-0.67,-0.78,-0.76,-0.78,-0.76
0.027,-0.68,-0.68,-0.77,-0.76,-0.78,-0.76
0.016,-0.68,-0.67,-0.77,-0.76,-0.78,-0.76
0.006,-0.68,-0.67,-0.77,-0.76,-0.77,-0.76
0,-0.7,-0.68,-0.78,-0.76,-0.78,-0.77
0.015,0.98,1.01,1.05,1.06,1.06,1.07
0.028,1.02,1.03,1.04,1.06,1.06,1.07
0.052,0.95,0.96,1,1,1.01,1
0.08,0.85,0.86,0.9,0.9,0.92,0.92
0.106,0.78,0.8,0.84,0.84,0.85,0.85
0.154,0.67,0.7,0.73,0.73,0.74,0.74
0.204,0.57,0.6,0.64,0.64,0.65,0.64
0.251,0.51,0.53,0.56,0.56,0.58,0.58
0.3,0.43,0.45,0.5,0.5,0.52,0.52
0.352,0.36,0.38,0.41,0.42,0.44,0.43
0.401,0.29,0.3,0.34,0.35,0.36,0.36
0.452,0.23,0.25,0.28,0.29,0.31,0.3
0.5,0.18,0.2,0.24,0.24,0.26,0.26
0.555,0.15,0.16,0.19,0.2,0.22,0.21
0.602,0.07,0.08,0.12,0.12,0.14,0.14
0.655,0.02,0.04,0.05,0.06,0.07,0.07
0.707,-0.03,0,0,0.01,0.04,0.02
0.755,-0.05,-0.02,-0.03,-0.03,-0.01,-0.01
0.852,-0.14,-0.11,-0.13,-0.14,-0.11,-0.11
0.904,-0.25,-0.23,-0.26,-0.25,-0.23,-0.23
0.955,-0.37,-0.35,-0.4,-0.39,-0.37,-0.37
