,0.31,0.42,0.52,0.54,0.57,0.59,0.62,0.65,0.67,0.7,0.73
0,-0.83,-0.66,-0.47,-0.43,-0.4,-0.39,-0.32,-0.27,-0.22,-0.19,-0.11
0.006,-0.8,-0.72,-0.62,-0.6,-0.61,-0.66,-0.6,-0.61,-0.61,-0.66,-0.66
0.013,-0.79,-0.72,-0.61,-0.59,-0.6,-0.64,-0.59,-0.6,-0.61,-0.65,-0.66
0.025,-0.82,-0.72,-0.6,-0.58,-0.59,-0.64,-0.58,-0.6,-0.61,-0.65,-0.66
0.051,-0.76,-0.66,-0.6,-0.58,-0.59,-0.64,-0.58,-0.6,-0.6,-0.65,-0.66
0.075,-0.66,-0.6,-0.6,-0.58,-0.59,-0.62,-0.58,-0.6,-0.6,-0.65,-0.66
0.101,-0.63,-0.59,-0.6,-0.59,-0.59,-0.62,-0.59,-0.6,-0.61,-0.65,-0.66
0.15,-0.63,-0.59,-0.61,-0.6,-0.6,-0.62,-0.59,-0.61,-0.61,-0.66,-0.66
0.2,-0.63,-0.6,-0.62,-0.661,-0.62,-0.63,-0.6,-0.62,-0.62,-0.66,-0.67
0.251,-0.64,-0.61,-0.62,-0.62,-0.62,-0.64,-0.61,-0.62,-0.63,-0.67,-0.68
0.298,-0.65,-0.62,-0.64,-0.63,-0.64,-0.65,-0.62,-0.62,-0.63,-0.68,-0.68
0.352,-0.66,-0.62,-0.65,-0.64,-0.65,-0.66,-0.63,-0.64,-0.64,-0.69,-0.69
0.4,-0.68,-0.64,-0.67,-0.65,-0.66,-0.67,-0.64,-0.65,-0.65,-0.7,-0.7
0.45,-0.7,-0.67,-0.69,-0.68,-0.68,-0.69,-0.66,-0.67,-0.67,-0.71,-0.72
0.5,-0.71,-0.67,-0.7,-0.68,-0.69,-0.7,-0.67,-0.68,-0.68,-0.72,-0.72
0.551,-0.73,-0.68,-0.71,-0.69,-0.7,-0.71,-0.68,-0.68,-0.68,-0.73,-0.73
0.6,-0.74,-0.69,-0.72,-0.7,-0.72,-0.72,-0.69,-0.7,-0.69,-0.74,-0.74
0.651,-0.75,-0.7,-0.73,-0.71,-0.72,-0.72,-0.7,-0.7,-0.71,-0.74,-0.75
0.701,-0.76,-0.7,-0.74,-0.72,-0.73,-0.74,-0.71,-0.72,-0.72,-0.76,-0.76
0.752,-0.76,-0.71,-0.74,-0.72,-0.74,-0.74,-0.72,-0.72,-0.73,-0.76,-0.77
0.802,-0.75,-0.71,-0.74,-0.71,-0.73,-0.74,-0.72,-0.72,-0.73,-0.76,-0.77
0.852,-0.74,-0.68,-0.71,-0.69,-0.71,-0.72,-0.7,-0.71,-0.72,-0.76,-0.77
0.902,-0.71,-0.66,-0.68,-0.67,-0.68,-0.7,-0.68,-0.69,-0.7,-0.74,-0.75
0.947,-0.69,-0.63,-0.66,-0.62,-0.66,-0.68,-0.66,-0.67,-0.68,-0.73,-0.74
1,-0.64,-0.58,-0.6,-0.58,-0.61,-0.63,-0.61,-0.64,-0.65,-0.7,-0.71
