,0.32,0.42,0.52,0.55,0.57,0.6,0.63,0.65,0.68,0.71,0.74,0.77
0.95,-0.29,-0.33,-0.39,-0.42,-0.45,-0.49,-0.51,-0.56,-0.57,-0.6,-0.67,-0.67
0.9,-0.32,-0.36,-0.43,-0.46,-0.48,-0.54,-0.57,-0.61,-0.62,-0.65,-0.69,-0.7
0.85,-0.32,-0.38,-0.44,-0.49,-0.5,-0.57,-0.58,-0.64,-0.66,-0.68,-0.71,-0.72
0.8,-0.34,-0.4,-0.47,-0.53,-0.54,-0.61,-0.61,-0.66,-0.7,-0.71,-0.71,-0.73
0.75,-0.35,-0.42,-0.49,-0.56,-0.56,-0.64,-0.64,-0.69,-0.72,-0.73,-0.73,-0.75
0.7,-0.38,-0.46,-0.52,-0.59,-0.6,-0.67,-0.66,-0.7,-0.73,-0.73,-0.72,-0.75
0.65,-0.43,-0.49,-0.55,-0.61,-0.63,-0.69,-0.69,-0.72,-0.74,-0.75,-0.72,-0.75
0.6,-0.48,-0.53,-0.58,-0.65,-0.66,-0.71,-0.71,-0.73,-0.74,-0.74,-0.71,-0.75
0.55,-0.54,-0.58,-0.63,-0.69,-0.71,-0.74,-0.73,-0.75,-0.76,-0.75,-0.72,-0.77
0.5,-0.62,-0.62,-0.67,-0.74,-0.74,-0.77,-0.76,-0.76,-0.77,-0.75,-0.73,-0.77
0.45,-0.71,-0.68,-0.72,-0.79,-0.79,-0.8,-0.78,-0.79,-0.79,-0.77,-0.75,-0.8
0.4,-0.79,-0.74,-0.79,-0.85,-0.86,-0.84,-0.82,-0.81,-0.8,-0.78,-0.75,-0.82
0.35,-0.89,-0.82,-0.85,-0.9,-0.9,-0.86,-0.84,-0.82,-0.8,-0.77,-0.8,-0.86
0.3,-0.99,-0.9,-0.93,-0.97,-0.96,-0.89,-0.87,-0.84,-0.83,-0.8,-0.93,-0.96
0.25,-1.1,-1,-1.02,-1.04,-1.01,-0.92,-0.9,-0.87,-0.84,-0.81,-1,-1.05
0.2,-1.23,-1.13,-1.15,-1.12,-1.08,-0.96,-0.94,-0.92,-0.86,-0.84,-1.16,-1.16
0.15,-1.43,-1.34,-1.27,-1.2,-1.12,-0.98,-0.96,-0.97,-0.89,-0.88,-1.29,-1.25
0.1,-1.71,-1.63,-1.39,-1.25,-1.14,-0.99,-0.97,-0.98,-0.9,-0.91,-1.33,-1.32
0.075,-2.01,-1.91,-1.49,-1.29,-1.16,-1.01,-1,-1.03,-0.94,-0.93,-1.36,-1.35
0.025,-3.16,-3.05,-1.84,-1.5,-1.27,-1.13,-1.09,-1.09,-1.03,-1.1,-1.36,-1.3
0.013,-5.1,-3.58,-1.99,-1.56,-1.32,-1.18,-1.15,-1.15,-1.09,-1.14,-1.36,-1.25
0.005,-5.54,-4.09,-2.54,-2.27,-2.03,-1.82,-1.67,-1.56,-1.31,-1.17,-1.06,-0.92
0,-4.87,-2.98,-1.36,-1.1,-0.85,-0.64,-0.48,-0.33,-0.18,-0.04,0.09,0.22
0.005,0.31,0.66,0.94,0.98,1.01,1.05,1.07,1.09,1.1,1.12,1.13,1.15
0.013,0.94,1.01,1.07,1.07,1.08,1.09,1.1,1.1,1.09,1.09,1.09,1.1
0.025,1.07,1.03,1.02,1.02,1.01,1.01,1,1,0.99,0.98,0.98,0.97
0.05,0.92,0.85,0.83,0.82,0.81,0.8,0.79,0.79,0.78,0.77,0.76,0.76
0.075,0.78,0.72,0.7,0.69,0.68,0.67,0.67,0.66,0.65,0.65,0.64,0.64
0.1,0.7,0.65,0.63,0.62,0.62,0.61,0.6,0.6,0.59,0.59,0.57,0.57
0.15,0.58,0.54,0.52,0.52,0.51,0.5,0.5,0.5,0.49,0.49,0.48,0.48
0.2,0.48,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.4
0.25,0.43,0.39,0.39,0.38,0.38,0.37,0.37,0.36,--,--,--,--
0.3,0.36,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.28
0.35,0.3,0.27,0.27,0.25,0.25,0.24,0.24,0.24,--,--,--,--
0.4,0.26,0.23,0.23,0.22,0.22,0.2,0.2,0.2,0.19,0.19,0.18,0.18
0.45,0.23,0.2,0.2,0.19,0.19,0.17,0.17,0.17,--,--,--,--
0.5,0.21,0.19,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13
0.55,0.2,0.18,0.17,0.16,0.16,0.15,0.14,0.14,--,--,--,--
0.6,0.19,0.17,0.16,0.15,0.15,0.14,0.12,0.13,0.14,0.13,0.12,0.12
0.7,0.17,0.15,0.15,0.14,0.14,0.13,0.15,0.12,--,--,--,--
0.75,0.17,0.15,0.15,0.13,0.13,0.12,0.13,0.11,0.11,0.11,0.11,0.11
0.85,0.12,0.1,0.09,0.08,0.08,0.07,0.03,0.05,0.05,0.06,0.06,0.06
0.95,-0.03,-0.06,-0.07,-0.08,-0.09,-0.11,-0.12,-0.13,-0.14,-0.14,-0.14,-0.13
