,0.31,0.41,0.52,0.55,0.57,0.6
1,-0.59,-0.76,-0.7,-0.68,-0.71,-0.8
0.955,-0.61,-0.77,-0.71,-0.7,-0.72,-0.81
0.904,-0.62,-0.78,-0.72,-0.71,-0.73,-0.82
0.804,-0.63,-0.8,-0.72,-0.72,-0.74,-0.84
0.758,-0.63,-0.82,-0.73,-0.72,-0.74,-0.84
0.655,-0.63,-0.8,-0.72,-0.72,-0.74,-0.82
0.6,-0.63,-0.8,-0.72,-0.71,-0.74,-0.82
0.551,-0.62,-0.79,-0.72,-0.71,-0.73,-0.81
0.502,-0.62,-0.79,-0.71,-0.7,-0.72,-0.81
0.448,-0.61,-0.78,-0.7,-0.7,-0.72,-0.8
0.399,-0.6,-0.77,-0.7,-0.69,-0.71,-0.8
0.351,-0.6,-0.76,-0.69,-0.69,-0.71,-0.79
0.304,-0.59,-0.76,-0.69,-0.68,-0.7,-0.78
0.255,-0.59,-0.76,-0.69,-0.68,-0.7,-0.78
0.199,-0.58,-0.75,-0.68,-0.68,-0.7,-0.78
0.154,-0.58,-0.75,-0.68,-0.69,-0.7,-0.78
0.106,-0.58,-0.75,-0.67,-0.68,-0.68,-0.78
0.08,-0.58,-0.75,-0.67,-0.68,-0.68,-0.78
0.051,-0.58,-0.75,-0.68,-0.68,-0.68,-0.78
0.027,-0.58,-0.75,-0.67,-0.67,-0.68,-0.78
0.016,-0.58,-0.75,-0.67,-0.67,-0.69,-0.78
0.006,-0.58,-0.75,-0.67,-0.68,-0.69,-0.78
0,-0.59,-0.76,-0.69,-0.68,-0.7,-0.79
0.015,1.02,1.03,1.04,1.06,1.07,1.08
0.028,1.02,1.03,1.04,1.04,1.06,1.06
0.052,0.92,0.94,0.94,0.95,0.96,0.98
0.08,0.81,0.84,0.84,0.85,0.86,0.89
0.106,0.73,0.76,0.77,0.79,0.8,0.82
0.154,0.62,0.66,0.66,0.66,0.68,0.72
0.204,0.53,0.56,0.56,0.57,0.59,0.62
0.251,0.46,0.5,0.49,0.5,0.52,0.54
0.3,0.4,0.43,0.43,0.44,0.46,0.48
0.352,0.34,0.36,0.35,0.36,0.38,0.4
0.401,0.26,0.29,0.28,0.29,0.3,0.34
0.452,0.21,0.24,0.22,0.24,0.25,0.28
0.5,0.17,0.19,0.18,0.19,0.2,0.23
0.555,0.13,0.15,0.14,0.15,0.16,0.19
0.602,0.08,0.08,0.06,0.08,0.08,0.12
0.655,0,0,0,0.02,0.02,0.04
0.707,-0.03,-0.04,-0.04,-0.02,-0.02,0
0.755,-0.04,-0.07,-0.06,-0.05,-0.05,-0.03
0.852,-0.14,-0.17,-0.15,-0.14,-0.14,-0.15
0.904,-0.22,-0.28,-0.27,-0.25,-0.25,-0.25
0.955,-0.34,-0.42,-0.39,-0.37,-0.38,-0.3
