,0.31,0.41,0.52,0.54,0.57,0.6,0.62,0.65,0.68
0,-0.63,-0.76,-0.62,-0.61,-0.56,-0.53,-0.57,-0.5,-0.45
0.006,-0.58,-0.73,-0.69,-0.68,-0.66,-0.66,-0.7,-0.72,-0.74
0.013,-0.58,-0.74,-0.69,-0.68,-0.66,-0.66,-0.71,-0.72,-0.74
0.025,-0.57,-0.74,-0.69,-0.68,-0.66,-0.65,-0.71,-0.72,-0.73
0.051,-0.56,-0.67,-0.66,-0.68,-0.66,-0.66,-0.71,-0.71,-0.74
0.075,-0.55,-0.63,-0.63,-0.66,-0.64,-0.64,-0.68,-0.69,-0.72
0.101,-0.57,-0.62,-0.62,-0.66,-0.65,-0.64,-0.68,-0.68,-0.72
0.15,-0.58,-0.62,-0.62,-0.66,-0.65,-0.64,-0.68,-0.69,-0.72
0.2,-0.58,-0.62,-0.63,-0.66,-0.65,-0.64,-0.68,-0.69,-0.72
0.251,-0.59,-0.64,-0.64,-0.67,-0.66,-0.66,-0.68,-0.7,-0.72
0.298,-0.6,-0.64,-0.65,-0.68,-0.66,-0.66,-0.69,-0.7,-0.733
0.352,-0.6,-0.65,-0.66,-0.69,-0.68,-0.66,-0.7,-0.71,-0.73
0.4,-0.61,-0.66,-0.67,-0.7,-0.68,-0.67,-0.7,-0.71,-0.74
0.45,-0.63,-0.68,-0.68,-0.71,-0.7,-0.69,-0.72,-0.72,-0.76
0.5,-0.63,-0.68,-0.68,-0.71,-0.7,-0.69,-0.72,-0.72,-0.75
0.551,-0.63,-0.69,-0.69,-0.71,-0.7,-0.69,-0.72,-0.74,-0.76
0.6,-0.64,-0.7,-0.7,-0.72,-0.7,-0.7,-0.73,-0.74,-0.76
0.651,-0.64,-0.7,-0.7,-0.72,-0.71,-0.7,-0.74,-0.74,-0.77
0.701,-0.65,-0.71,-0.71,-0.73,-0.72,-0.7,-0.74,-0.74,-0.77
0.752,-0.65,-0.71,-0.71,-0.74,-0.72,-0.71,-0.75,-0.74,-0.78
0.802,-0.65,-0.7,-0.7,-0.74,-0.72,-0.7,-0.75,-0.74,-0.77
0.852,-0.63,-0.7,-0.69,-0.73,-0.72,-0.7,-0.74,-0.74,-0.77
0.902,-0.61,-0.68,-0.68,-0.72,-0.7,-0.68,-0.73,-0.72,-0.76
0.947,-0.6,-0.67,-0.66,-0.7,-0.69,-0.67,-0.72,-0.71,-0.74
1,-0.55,-0.64,-0.63,-0.66,-0.65,-0.64,-0.69,-0.69,-0.72
