,0.310,0.420,0.520,0.540,0.570,0.590,0.620,0.650,0.670,0.700
0.015,0.960,1.010,1.030,1.030,1.040,1.040,1.060,1.060,1.070,1.080
0.028,0.940,0.940,0.940,0.950,0.960,0.960,0.970,0.980,0.980,1.000
0.052,0.810,0.810,0.820,0.810,0.820,0.830,0.840,0.850,0.860,0.860
0.080,0.690,0.690,0.690,0.680,0.700,0.700,0.720,0.720,0.720,0.740
0.106,0.600,0.620,0.620,0.610,0.620,0.630,0.640,0.650,0.650,0.660
0.154,0.500,0.510,0.510,0.500,0.510,0.520,0.530,0.540,0.540,0.550
0.204,0.400,0.420,0.410,0.400,0.410,0.410,0.410,0.440,0.430,0.450
0.251,0.340,0.370,0.360,0.350,0.360,0.360,0.370,0.380,0.380,0.390
0.300,0.290,0.310,0.290,0.280,0.290,0.290,0.300,0.310,0.310,0.320
0.352,0.230,0.250,0.230,0.220,0.230,0.220,0.240,0.240,0.220,0.260
0.401,0.170,0.190,0.170,0.160,0.160,0.160,0.180,0.180,0.180,0.190
0.452,0.130,0.160,0.120,0.120,0.120,0.120,0.130,0.140,0.130,0.140
0.500,0.100,0.120,0.090,0.080,0.090,0.080,0.090,0.100,0.100,0.100
0.555,0.070,0.100,0.060,0.050,0.060,0.060,0.060,0.070,0.060,0.080
0.602,-0.040,0.040,0.000,-0.010,0.000,-0.010,0.000,0.000,0.000,0.010
0.655,-0.040,-0.050,-0.060,-0.070,-0.060,-0.060,-0.050,-0.050,-0.060,-0.050
0.707,-0.060,-0.080,-0.080,-0.100,-0.090,-0.090,-0.080,-0.080,-0.090,-0.070
0.755,-0.080,-0.090,-0.100,-0.110,-0.100,-0.100,-0.100,-0.100,-0.100,-0.090
0.852,-0.140,-0.150,-0.160,-0.170,-0.160,-0.170,-0.160,-0.160,-0.170,-0.150
0.904,-0.230,-0.240,-0.250,-0.260,-0.250,-0.260,-0.250,-0.250,-0.260,-0.240
0.955,-0.260,-0.320,-0.340,-0.350,-0.340,-0.360,-0.360,-0.360,-0.370,-0.350
