,0.32,0.42,0.53,0.55
0,-0.76,-0.77,-0.84,-0.86
0.005,-0.73,-0.76,-0.83,-0.85
0.029,-0.74,-0.76,-0.83,-0.85
0.051,-0.73,-0.76,-0.83,-0.84
0.076,-0.72,-0.75,-0.83,-0.84
0.101,-0.74,-0.76,-0.84,-0.85
0.151,-0.74,-0.76,-0.84,-0.85
0.199,-0.74,-0.76,-0.84,-0.85
0.249,-0.74,-0.77,-0.84,-0.86
0.301,-0.76,-0.78,-0.85,-0.86
0.349,-0.76,-0.78,-0.86,-0.87
0.4,-0.77,-0.78,-0.86,-0.88
0.499,-0.77,-0.79,-0.88,-0.88
0.549,-0.78,-0.8,-0.87,-0.89
0.598,-0.78,-0.81,-0.88,-0.9
0.649,-0.78,-0.81,-0.88,-0.9
0.701,-0.78,-0.82,-0.89,-0.9
0.751,-0.78,-0.81,-0.88,-0.9
0.802,-0.77,-0.81,-0.88,-0.89
0.849,-0.78,-0.81,-0.88,-0.89
0.951,-0.77,-0.78,-0.85,-0.86
1,-0.76,-0.78,-0.85,--
