,0.31,0.41,0.51,0.56,0.6,0.63,0.66,0.69,0.71,0.74,0.76,0.8,0.83,0.85,0.87
1,0.29,0.18,0.14,0.11,0.12,0.12,0.12,0.12,0.11,0.13,0.13,0.13,0.06,-0.03,-0.18
0.955,0.03,0.03,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.02,-0.14,-0.32
0.904,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.07,-0.04,-0.22,-0.38
0.804,-0.06,-0.07,-0.06,-0.06,-0.06,-0.07,-0.07,-0.07,-0.06,-0.07,-0.03,0.01,-0.24,-0.39,-0.43
0.758,-0.11,-0.11,-0.11,-0.11,-0.1,-0.12,-0.12,-0.19,-0.12,-0.12,-0.08,-0.04,-0.35,-0.43,-0.5
0.655,-0.15,-0.16,-0.16,-0.16,-0.16,-0.18,-0.19,-0.18,-0.18,-0.17,-0.12,-0.24,-0.5,-0.55,-0.86
0.6,-0.18,-0.2,-0.2,-0.21,-0.21,-0.23,-0.23,-0.22,-0.22,-0.21,-0.15,-0.43,-0.58,-0.76,-0.94
0.551,-0.22,-0.26,-0.24,-0.25,-0.24,-0.27,-0.27,-0.26,-0.26,-0.24,-0.16,-0.52,-0.77,-0.9,-0.96
0.502,-0.25,-0.28,-0.28,-0.29,-0.3,-0.32,-0.33,-0.31,-0.32,-0.29,-0.21,-0.63,-1,-1.01,-0.95
0.448,-0.29,-0.32,-0.32,-0.34,-0.36,-0.33,-0.37,-0.36,-0.36,-0.31,-0.31,-1.06,-1.07,-1,-0.92
0.399,-0.32,-0.35,-0.35,-0.37,-0.38,-0.41,-0.41,-0.4,-0.39,-0.31,-0.47,-1.16,-1.04,-0.96,-0.88
0.351,-0.34,-0.36,-0.36,-0.38,-0.39,-0.42,-0.42,-0.4,-0.38,-0.37,-0.83,-1.17,-1.03,-0.95,-0.86
0.305,-0.37,-0.39,-0.4,-0.42,-0.43,-0.46,-0.46,-0.43,-0.38,-0.56,-1.18,-1.17,-1.03,-0.94,-0.85
0.255,-0.39,-0.42,-0.43,-0.45,-0.46,-0.5,-0.49,-0.45,-0.39,-1.07,-1.27,-1.18,-1.04,-0.95,-0.86
0.199,-0.44,-0.47,-0.49,-0.51,-0.52,-0.55,-0.54,-0.48,-0.62,-1.37,-1.3,-1.18,-1.03,-0.94,-0.84
0.154,-0.5,-0.52,-0.55,-0.57,-0.58,-0.61,-0.58,-0.56,-1.28,-1.43,-1.33,-1.21,-1.05,-0.95,-0.84
0.106,-0.62,-0.66,-0.69,-0.72,-0.76,-0.76,-0.74,-1.33,-1.54,-1.5,-1.38,-1.25,-1.08,-0.98,-0.87
0.08,-0.67,-0.72,-0.75,-0.81,-0.83,-0.82,-1.11,-1.62,-1.59,-1.51,-1.38,-1.24,-1.07,-0.96,-0.84
0.051,-0.89,-0.96,-1.03,-1.14,-1.21,-1.73,-1.86,-1.76,-1.68,-1.56,-1.43,-1.27,-1.08,-0.96,-0.82
0.027,-1.11,-1.2,-1.38,-1.56,-1.88,-2.16,-2,-1.82,-1.69,-1.56,-1.41,-1.24,-1.04,-0.91,-0.76
0.016,-1.49,-1.67,-2.05,-2.26,-2.37,-2.3,-2.18,-1.95,-1.8,-1.65,-1.49,-1.29,-1.07,-0.91,-0.74
0.006,-2.05,-2.92,-2.57,-2.56,-2.4,-2.38,-2.38,-2.12,-1.94,-1.77,-1.59,-1.38,-1.14,-0.97,-0.77
0,-1.72,-1.48,-0.95,-0.71,-0.49,-0.36,-0.24,-0.11,0.01,0.12,0.21,0.33,0.46,0.58,0.69
0.015,0.76,0.77,0.77,0.77,0.79,0.77,0.77,0.77,0.77,0.77,0.78,0.75,0.74,0.71,0.66
0.028,0.62,0.62,0.62,0.63,0.64,0.64,0.63,0.64,0.64,0.64,0.64,0.63,0.62,0.59,0.54
0.052,0.48,0.48,0.47,0.49,0.49,0.49,0.5,0.5,0.51,0.51,0.52,0.51,0.51,0.46,0.44
0.08,0.36,0.35,0.36,0.36,0.37,0.37,0.37,0.38,0.39,0.38,0.41,0.39,0.39,0.37,0.32
