,0.31,0.42,0.52,0.55,0.58,0.6
1,-0.69,-0.68,-0.77,-0.76,-0.79,-0.79
0.951,-0.7,-0.7,-0.78,-0.77,-0.79,-0.79
0.849,-0.72,-0.72,-0.8,-0.79,-0.82,-0.81
0.802,-0.72,-0.72,-0.8,-0.79,-0.82,-0.81
0.751,-0.73,-0.72,-0.81,-0.8,-0.82,-0.81
0.701,-0.72,-0.72,-0.81,-0.8,-0.82,-0.81
0.649,-0.72,-0.72,-0.8,-0.8,-0.82,-0.81
0.598,-0.71,-0.72,-0.8,-0.8,-0.82,-0.81
0.549,-0.71,-0.71,-0.8,-0.79,-0.81,-0.81
0.499,-0.71,-0.71,-0.79,-0.79,-0.81,-0.8
0.4,-0.71,-0.7,-0.78,-0.77,-0.79,-0.79
0.349,-0.7,-0.69,-0.78,-0.77,-0.79,-0.79
0.301,-0.69,-0.69,-0.77,-0.77,-0.79,-0.78
0.249,-0.67,-0.69,-0.77,-0.76,-0.78,-0.78
0.199,-0.68,-0.68,-0.76,-0.75,-0.78,-0.77
0.151,-0.68,-0.68,-0.76,-0.75,-0.78,-0.77
0.101,-0.67,-0.68,-0.75,-0.75,-0.77,-0.77
0.076,-0.67,-0.67,-0.75,-0.75,-0.77,-0.76
0.051,-0.67,-0.67,-0.75,-0.75,-0.77,-0.76
0.029,-0.67,-0.68,-0.75,-0.75,-0.77,-0.76
0.005,-0.67,-0.68,-0.75,-0.75,-0.77,-0.76
0,-0.69,-0.69,-0.77,-0.77,-0.79,-0.79
0.005,0.75,0.78,0.79,0.81,0.8,0.83
0.014,1.01,1.03,1.05,1.06,1.06,1.08
0.049,0.94,0.96,0.99,1,1,1.01
0.073,0.85,0.87,0.9,0.91,0.92,0.93
0.098,0.76,0.79,0.82,0.83,0.84,0.84
0.152,0.62,0.65,0.68,0.69,0.7,0.7
0.251,0.41,0.44,0.47,0.48,0.49,0.49
0.3,0.32,0.35,0.38,0.39,0.4,0.4
0.351,0.24,0.27,0.3,0.3,0.32,0.32
0.403,0.18,0.2,0.23,0.23,0.25,0.24
0.449,0.11,0.13,0.16,0.16,0.18,0.17
0.5,0.06,0.08,0.1,0.11,0.12,0.12
0.549,0.02,0.04,0.05,0.06,0.07,0.07
0.602,-0.02,0,0.02,0.02,0.04,0.03
0.649,-0.05,-0.03,-0.02,-0.01,0,-0.01
0.701,-0.09,-0.07,-0.06,-0.05,-0.04,-0.05
0.751,-0.13,-0.11,-0.11,-0.1,-0.09,-0.09
0.801,-0.19,-0.17,-0.17,-0.16,-0.15,-0.15
0.851,-0.25,-0.24,-0.25,-0.24,-0.23,-0.23
0.951,-0.43,-0.42,-0.45,-0.44,-0.45,-0.44
