,0.31,0.42,0.52,0.54,0.57,0.59,0.62,0.65,0.67,0.7,0.73
1,-0.64,-0.58,-0.6,-0.58,-0.61,-0.63,-0.61,-0.64,-0.65,-0.7,-0.71
0.947,-0.69,-0.63,-0.66,-0.62,-0.66,-0.68,-0.66,-0.67,-0.68,-0.73,-0.74
0.902,-0.71,-0.66,-0.68,-0.67,-0.68,-0.7,-0.68,-0.69,-0.7,-0.74,-0.75
0.852,-0.74,-0.68,-0.71,-0.69,-0.71,-0.72,-0.7,-0.71,-0.72,-0.76,-0.77
0.802,-0.75,-0.71,-0.74,-0.71,-0.73,-0.74,-0.72,-0.72,-0.73,-0.76,-0.77
0.752,-0.76,-0.71,-0.74,-0.72,-0.74,-0.74,-0.72,-0.72,-0.73,-0.76,-0.77
0.701,-0.76,-0.7,-0.74,-0.72,-0.73,-0.74,-0.71,-0.72,-0.72,-0.76,-0.76
0.651,-0.75,-0.7,-0.73,-0.71,-0.72,-0.72,-0.7,-0.7,-0.71,-0.74,-0.75
0.6,-0.74,-0.69,-0.72,-0.7,-0.72,-0.72,-0.69,-0.7,-0.69,-0.74,-0.74
0.551,-0.73,-0.68,-0.71,-0.69,-0.7,-0.71,-0.68,-0.68,-0.68,-0.73,-0.73
0.5,-0.71,-0.67,-0.7,-0.68,-0.69,-0.7,-0.67,-0.68,-0.68,-0.72,-0.72
0.45,-0.7,-0.67,-0.69,-0.68,-0.68,-0.69,-0.66,-0.67,-0.67,-0.71,-0.72
0.4,-0.68,-0.64,-0.67,-0.65,-0.66,-0.67,-0.64,-0.65,-0.65,-0.7,-0.7
0.352,-0.66,-0.62,-0.65,-0.64,-0.65,-0.66,-0.63,-0.64,-0.64,-0.69,-0.69
0.298,-0.65,-0.62,-0.64,-0.63,-0.64,-0.65,-0.62,-0.62,-0.63,-0.68,-0.68
0.251,-0.64,-0.61,-0.62,-0.62,-0.62,-0.64,-0.61,-0.62,-0.63,-0.67,-0.68
0.2,-0.63,-0.6,-0.62,-0.661,-0.62,-0.63,-0.6,-0.62,-0.62,-0.66,-0.67
0.15,-0.63,-0.59,-0.61,-0.6,-0.6,-0.62,-0.59,-0.61,-0.61,-0.66,-0.66
0.101,-0.63,-0.59,-0.6,-0.59,-0.59,-0.62,-0.59,-0.6,-0.61,-0.65,-0.66
0.075,-0.66,-0.6,-0.6,-0.58,-0.59,-0.62,-0.58,-0.6,-0.6,-0.65,-0.66
0.051,-0.76,-0.66,-0.6,-0.58,-0.59,-0.64,-0.58,-0.6,-0.6,-0.65,-0.66
0.025,-0.82,-0.72,-0.6,-0.58,-0.59,-0.64,-0.58,-0.6,-0.61,-0.65,-0.66
0.013,-0.79,-0.72,-0.61,-0.59,-0.6,-0.64,-0.59,-0.6,-0.61,-0.65,-0.66
0.006,-0.8,-0.72,-0.62,-0.6,-0.61,-0.66,-0.6,-0.61,-0.61,-0.66,-0.66
0,-0.83,-0.66,-0.47,-0.43,-0.4,-0.39,-0.32,-0.27,-0.22,-0.19,-0.11
0.013,0.96,1.01,1.01,1.02,1.03,1.04,1.04,1.04,1.05,1.05,1.06
0.026,0.91,0.94,0.92,0.94,0.94,0.94,0.95,0.94,0.96,0.96,0.96
0.05,0.79,0.8,0.79,0.8,0.8,0.8,0.82,0.82,0.83,0.82,0.82
0.074,0.71,0.73,0.72,0.74,0.74,0.74,0.76,0.76,0.76,0.76,0.77
0.101,0.64,0.67,0.66,0.67,0.67,0.68,0.69,0.68,0.7,0.69,0.7
0.151,0.55,0.58,0.56,0.58,0.58,0.58,0.6,0.6,0.61,0.6,0.61
0.2,0.49,0.5,0.49,0.51,0.51,0.51,0.53,0.53,0.54,0.53,0.55
0.252,0.43,0.44,0.42,0.44,0.44,0.45,0.46,0.46,0.48,0.47,0.48
0.302,0.38,0.4,0.38,0.4,0.4,0.4,0.42,0.42,0.43,0.42,0.42
0.352,0.33,0.34,0.34,0.34,0.35,0.35,0.36,0.36,0.37,0.37,0.38
0.4,0.3,0.31,0.3,0.31,0.31,0.31,0.33,0.33,0.34,0.33,0.35
0.451,0.28,0.28,0.26,0.28,0.28,0.28,0.3,0.3,0.31,0.3,0.32
0.501,0.23,0.25,0.24,0.25,0.25,0.25,0.27,0.27,0.28,0.27,0.29
0.551,0.2,0.2,0.21,0.22,0.21,0.22,0.23,0.23,0.24,0.25,0.25
0.601,0.18,0.18,0.19,0.2,0.19,0.2,0.21,0.21,0.22,0.23,0.23
0.652,0.16,0.16,0.17,0.17,0.17,0.18,0.19,0.19,0.19,0.21,0.21
0.702,0.14,0.14,0.15,0.15,0.15,0.15,0.17,0.17,0.17,0.19,0.19
0.752,0.12,0.12,0.13,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.18
0.801,0.1,0.1,0.11,0.11,0.11,0.11,0.13,0.15,0.14,0.15,0.16
0.851,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.15,0.07,0.08
0.902,-0.07,-0.07,-0.07,-0.07,-0.06,-0.06,-0.05,-0.05,-0.04,-0.03,-0.02
0.951,-0.29,-0.32,-0.33,-0.33,-0.33,-0.33,-0.32,-0.32,-0.31,-0.3,-0.29
