,0.32,0.42,0.52,0.55,0.58,0.6
1,-0.69,-0.69,-0.77,-0.78,-0.76,-0.79
0.947,-0.72,-0.72,-0.8,-0.81,-0.79,-0.81
0.902,-0.74,-0.73,-0.81,-0.82,-0.8,-0.82
0.852,-0.75,-0.74,-0.82,-0.83,-0.81,-0.83
0.802,-0.75,-0.75,-0.83,-0.84,-0.82,-0.84
0.752,-0.76,-0.75,-0.83,-0.84,-0.82,-0.84
0.701,-0.76,-0.75,-0.83,-0.83,-0.83,-0.84
0.651,-0.75,-0.74,-0.83,-0.83,-0.82,-0.83
0.6,-0.75,-0.74,-0.82,-0.83,-0.82,-0.83
0.551,-0.74,-0.73,-0.82,-0.82,-0.81,-0.83
0.5,-0.74,-0.73,-0.81,-0.82,-0.81,-0.82
0.45,-0.73,-0.73,-0.81,-0.81,-0.8,-0.82
0.4,-0.72,-0.72,-0.8,-0.8,-0.79,-0.81
0.352,-0.72,-0.72,-0.8,-0.79,-0.79,-0.8
0.298,-0.71,-0.71,-0.79,-0.79,-0.79,-0.8
0.25,-0.71,-0.7,-0.79,-0.79,-0.79,-0.8
0.2,-0.71,-0.7,-0.78,-0.78,-0.78,-0.79
0.15,-0.7,-0.69,-0.78,-0.78,-0.78,-0.79
0.1,-0.7,-0.69,-0.77,-0.78,-0.77,-0.79
0.075,-0.7,-0.69,-0.77,-0.77,-0.77,-0.79
0.05,-0.7,-0.69,-0.77,-0.77,-0.77,-0.78
0.025,-0.69,-0.69,-0.77,-0.77,-0.77,-0.78
0.013,-0.7,-0.7,-0.77,-0.78,-0.77,-0.79
0.006,-0.71,-0.7,-0.77,-0.78,-0.78,-0.79
0,-0.76,-0.75,-0.84,-0.84,-0.84,-0.87
0.013,1.03,1.05,1.06,1.07,1.08,1.09
0.026,0.97,1,1.02,1.04,1.04,1.06
0.05,0.92,0.95,0.97,0.98,0.98,0.99
0.075,0.86,0.89,0.91,0.91,0.92,0.93
0.101,0.8,0.82,0.85,0.85,0.85,0.87
0.151,0.7,0.73,0.75,0.76,0.76,0.77
0.2,0.63,0.65,0.68,0.69,0.69,0.69
0.252,0.55,0.58,0.61,0.61,0.62,0.63
0.302,0.51,0.52,0.55,0.56,0.56,0.57
0.352,0.45,0.46,0.49,0.5,0.5,0.5
0.4,0.39,0.42,0.45,0.45,0.45,0.46
0.451,0.36,0.38,0.4,0.42,0.41,0.42
0.501,0.32,0.34,0.36,0.37,0.37,0.38
0.551,0.27,0.28,0.31,0.31,0.32,0.33
0.601,0.23,0.24,0.28,0.28,0.29,0.29
0.652,0.2,0.21,0.24,0.25,0.25,0.26
0.702,0.16,0.18,0.21,0.21,0.22,0.23
0.752,0.14,0.15,0.17,0.18,0.19,0.2
0.801,0.11,0.11,0.14,0.15,0.16,0.16
0.851,0.04,0.03,0.05,0.05,0.07,0.07
0.902,-0.05,-0.09,-0.08,-0.06,-0.06,-0.04
0.951,-0.25,-0.36,-0.38,-0.37,-0.36,-0.35
